#0  0x00da4416 in __kernel_vsyscall ()
No symbol table info available.
#1  0x06cbde71 in raise () from /lib/i386-linux-gnu/libc.so.6
No symbol table info available.
#2  0x06cc134e in abort () from /lib/i386-linux-gnu/libc.so.6
No symbol table info available.
#3  0x06cb6888 in __assert_fail () from /lib/i386-linux-gnu/libc.so.6
No symbol table info available.
#4  0x00c5c0ee in intelSetTexBuffer2 () from /usr/lib/dri/i915_dri.so
No symbol table info available.
#5  0x009fa0fe in ?? () from /usr/lib/mesa/libGL.so.1
No symbol table info available.
#6  0x009d122b in ?? () from /usr/lib/mesa/libGL.so.1
No symbol table info available.
#7  0x0044d855 in TfpTexture::enable(GLTexture::Filter) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#8  0x004518d5 in GLWindow::glDrawTexture(GLTexture*, GLFragment::Attrib&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#9  0x00452aac in GLWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#10 0x0067f44e in DecorWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libdecor.so
No symbol table info available.
#11 0x004527e8 in GLWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#12 0x00e4e9a1 in UnityMTGrabHandlesWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libunitymtgrabhandles.so
No symbol table info available.
#13 0x004527e8 in GLWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#14 0x0204792a in UnityWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libunityshell.so
No symbol table info available.
#15 0x004527e8 in GLWindow::glDraw(GLMatrix const&, GLFragment::Attrib&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#16 0x004526e2 in GLWindow::glPaint(GLWindowPaintAttrib const&, GLMatrix const&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
#17 0x00aa6c92 in WallWindow::glPaint(GLWindowPaintAttrib const&, GLMatrix const&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libwall.so
No symbol table info available.
#18 0x004525db in GLWindow::glPaint(GLWindowPaintAttrib const&, GLMatrix const&, CompRegion const&, unsigned int) () from /usr/lib/compiz/libopengl.so
No symbol table info available.
